Date,Value,Anomaly
193804,57.3,0.8
193805,65.6,-0.8
193806,74.3,-1.4
193807,81.3,1.5
193808,82.0,4.0
193809,72.7,2.5
193810,63.9,4.8
193811,46.9,1.7
193812,35.7,1.1
193901,38.7,8.2
193902,33.9,-1.4
193903,47.6,3.0
193904,53.0,-3.5
193905,68.9,2.5
193906,76.3,0.6
193907,80.5,0.7
193908,76.3,-1.7
193909,75.8,5.6
193910,61.1,2.0
193911,44.1,-1.1
193912,36.7,2.1
194001,14.9,-15.6
194002,33.1,-2.2
194003,43.0,-1.6
194004,54.1,-2.4
194005,63.6,-2.8
194006,76.5,0.8
194007,79.5,-0.3
194008,78.2,0.2
194009,69.5,-0.7
194010,63.6,4.5
194011,42.3,-2.9
194012,39.0,4.4
194101,34.2,3.7
194102,32.0,-3.3
194103,39.9,-4.7
194104,59.6,3.1
194105,70.1,3.7
194106,76.9,1.2
194107,81.0,1.2
194108,80.8,2.8
194109,72.5,2.3
194110,62.2,3.1
194111,45.5,0.3
194112,40.2,5.6
194201,31.6,1.1
194202,33.4,-1.9
194203,46.3,1.7
194204,60.1,3.6
194205,65.7,-0.7
194206,75.1,-0.6
194207,80.6,0.8
194208,76.3,-1.7
194209,69.1,-1.1
194210,58.8,-0.3
194211,47.6,2.4
194212,31.7,-2.9
194301,30.8,0.3
194302,39.1,3.8
194303,40.0,-4.6
194304,55.0,-1.5
194305,65.2,-1.2
194306,77.9,2.2
194307,81.9,2.1
194308,80.9,2.9
194309,66.5,-3.7
194310,57.1,-2.0
194311,41.7,-3.5
194312,31.1,-3.5
194401,36.2,5.7
194402,37.4,2.1
194403,41.0,-3.6
194404,53.4,-3.1
194405,71.2,4.8
194406,79.5,3.8
194407,79.6,-0.2
194408,78.2,0.2
194409,70.3,0.1
194410,60.1,1.0
194411,46.4,1.2
194412,28.5,-6.1
194501,27.9,-2.6
194502,35.4,0.1
194503,54.0,9.4
194504,56.9,0.4
194505,61.3,-5.1
194506,71.0,-4.7
194507,77.5,-2.3
194508,78.0,0.0
194509,69.9,-0.3
194510,57.5,-1.6
194511,45.2,0.0
194512,27.7,-6.9
194601,33.6,3.1
194602,40.1,4.8
194603,56.5,11.9
194604,60.5,4.0
194605,62.8,-3.6
194606,76.6,0.9
194607,80.1,0.3
194608,73.5,-4.5
194609,69.2,-1.0
194610,62.0,2.9
194611,47.3,2.1
194612,39.9,5.3
194701,36.4,5.9
194702,28.3,-7.0
194703,36.6,-8.0
194704,54.8,-1.7
194705,63.9,-2.5
194706,73.9,-1.8
194707,76.8,-3.0
194708,85.6,7.6
194709,71.7,1.5
194710,65.8,6.7
194711,40.2,-5.0
194712,38.1,3.5
194801,25.4,-5.1
194802,33.2,-2.1
194803,43.3,-1.3
194804,60.3,3.8
194805,64.8,-1.6
194806,75.5,-0.2
194807,79.3,-0.5
194808,78.7,0.7
194809,71.7,1.5
194810,56.1,-3.0
194811,46.8,1.6
194812,37.7,3.1
194901,32.3,1.8
194902,36.2,0.9
194903,43.8,-0.8
194904,54.1,-2.4
194905,69.6,3.2
194906,77.8,2.1
194907,81.3,1.5
194908,77.4,-0.6
194909,64.4,-5.8
194910,60.2,1.1
194911,48.5,3.3
194912,39.8,5.2
195001,37.5,7.0
195002,36.6,1.3
195003,40.9,-3.7
195004,51.2,-5.3
195005,67.8,1.4
195006,74.9,-0.8
195007,76.1,-3.7
195008,73.1,-4.9
195009,67.8,-2.4
195010,64.5,5.4
195011,38.2,-7.0
195012,29.0,-5.6
195101,32.5,2.0
195102,35.5,0.2
195103,40.3,-4.3
195104,52.5,-4.0
195105,68.3,1.9
195106,73.0,-2.7
195107,79.1,-0.7
195108,77.3,-0.7
195109,66.8,-3.4
195110,59.5,0.4
195111,38.6,-6.6
195112,33.7,-0.9
195201,35.8,5.3
195202,39.8,4.5
195203,42.6,-2.0
195204,55.3,-1.2
195205,66.6,0.2
195206,83.9,8.2
195207,82.2,2.4
195208,77.4,-0.6
195209,70.5,0.3
195210,54.0,-5.1
195211,45.8,0.6
195212,37.1,2.5
195301,35.1,4.6
195302,40.0,4.7
195303,47.0,2.4
195304,52.5,-4.0
195305,68.0,1.6
195306,82.3,6.6
195307,82.3,2.5
195308,79.0,1.0
195309,72.9,2.7
195310,62.3,3.2
195311,47.3,2.1
195312,37.8,3.2
195401,32.6,2.1
195402,43.9,8.6
195403,42.3,-2.3
195404,62.5,6.0
195405,62.4,-4.0
195406,80.2,4.5
195407,85.8,6.0
195408,80.7,2.7
195409,75.1,4.9
195410,59.1,0.0
195411,45.7,0.5
195412,36.8,2.2
195501,32.9,2.4
195502,36.0,0.7
195503,45.1,0.5
195504,63.3,6.8
195505,69.1,2.7
195506,72.3,-3.4
195507,84.3,4.5
195508,80.9,2.9
195509,74.1,3.9
195510,58.6,-0.5
195511,41.4,-3.8
195512,33.2,-1.4
195601,29.0,-1.5
195602,36.9,1.6
195603,45.2,0.6
195604,53.8,-2.7
195605,68.6,2.2
195606,77.0,1.3
195607,78.7,-1.1
195608,80.0,2.0
195609,71.3,1.1
195610,64.8,5.7
195611,44.7,-0.5
195612,38.6,4.0
195701,26.8,-3.7
195702,40.4,5.1
195703,43.6,-1.0
195704,56.8,0.3
195705,67.0,0.6
195706,76.4,0.7
195707,81.0,1.2
195708,80.0,2.0
195709,68.9,-1.3
195710,55.2,-3.9
195711,43.2,-2.0
195712,40.9,6.3
195801,31.1,0.6
195802,25.5,-9.8
195803,38.2,-6.4
195804,56.2,-0.3
195805,66.9,0.5
195806,72.3,-3.4
195807,77.4,-2.4
195808,78.2,0.2
195809,69.6,-0.6
195810,59.4,0.3
195811,48.7,3.5
195812,30.4,-4.2
195901,27.5,-3.0
195902,36.1,0.8
195903,46.0,1.4
195904,57.2,0.7
195905,70.0,3.6
195906,76.8,1.1
195907,78.4,-1.4
195908,81.2,3.2
195909,71.7,1.5
195910,57.5,-1.6
195911,39.3,-5.9
195912,39.7,5.1
196001,33.9,3.4
196002,31.2,-4.1
196003,30.7,-13.9
196004,59.3,2.8
196005,63.1,-3.3
196006,74.2,-1.5
196007,76.6,-3.2
196008,79.5,1.5
196009,74.5,4.3
196010,59.3,0.2
196011,46.8,1.6
196012,31.3,-3.3
196101,30.3,-0.2
196102,38.0,2.7
196103,47.3,2.7
196104,52.1,-4.4
196105,61.8,-4.6
196106,73.8,-1.9
196107,78.7,-1.1
196108,77.1,-0.9
196109,72.3,2.1
196110,60.5,1.4
196111,45.4,0.2
196112,33.2,-1.4
196201,26.0,-4.5
196202,37.9,2.6
196203,40.9,-3.7
196204,54.3,-2.2
196205,73.4,7.0
196206,75.3,-0.4
196207,77.1,-2.7
196208,76.9,-1.1
196209,67.7,-2.5
196210,62.2,3.1
196211,46.2,1.0
196212,32.5,-2.1
196301,22.6,-7.9
196302,29.8,-5.5
196303,50.1,5.5
196304,59.5,3.0
196305,65.1,-1.3
196306,76.7,1.0
196307,78.6,-1.2
196308,76.2,-1.8
196309,69.8,-0.4
196310,68.2,9.1
196311,47.0,1.8
196312,23.5,-11.1
196401,36.0,5.5
196402,35.5,0.2
196403,43.6,-1.0
196404,60.0,3.5
196405,70.9,4.5
196406,76.1,0.4
196407,79.7,-0.1
196408,77.8,-0.2
196409,70.6,0.4
196410,55.3,-3.8
196411,48.6,3.4
196412,33.2,-1.4
196501,33.0,2.5
196502,34.8,-0.5
196503,35.5,-9.1
196504,59.4,2.9
196505,71.6,5.2
196506,76.1,0.4
196507,77.8,-2.0
196508,76.8,-1.2
196509,70.1,-0.1
196510,57.5,-1.6
196511,49.6,4.4
196512,42.7,8.1
196601,26.0,-4.5
196602,33.2,-2.1
196603,47.7,3.1
196604,52.8,-3.7
196605,62.7,-3.7
196606,74.7,-1.0
196607,84.0,4.2
196608,75.3,-2.7
196609,66.7,-3.5
196610,55.3,-3.8
196611,48.1,2.9
196612,35.9,1.3
196701,35.8,5.3
196702,32.3,-3.0
196703,49.4,4.8
196704,59.5,3.0
196705,61.8,-4.6
196706,75.0,-0.7
196707,76.0,-3.8
196708,73.5,-4.5
196709,67.6,-2.6
196710,58.5,-0.6
196711,43.1,-2.1
196712,35.9,1.3
196801,29.7,-0.8
196802,30.3,-5.0
196803,47.2,2.6
196804,56.6,0.1
196805,63.0,-3.4
196806,78.0,2.3
196807,78.7,-1.1
196808,78.5,0.5
196809,69.1,-1.1
196810,58.0,-1.1
196811,44.5,-0.7
196812,33.3,-1.3
196901,29.8,-0.7
196902,36.0,0.7
196903,38.5,-6.1
196904,57.6,1.1
196905,66.4,0.0
196906,73.2,-2.5
196907,81.1,1.3
196908,77.7,-0.3
196909,70.0,-0.2
196910,56.8,-2.3
196911,44.0,-1.2
196912,32.8,-1.8
197001,25.5,-5.0
197002,33.6,-1.7
197003,41.3,-3.3
197004,58.7,2.2
197005,69.9,3.5
197006,73.0,-2.7
197007,78.6,-1.2
197008,77.0,-1.0
197009,72.5,2.3
197010,56.8,-2.3
197011,44.3,-0.9
197012,37.7,3.1
197101,28.1,-2.4
197102,34.6,-0.7
197103,42.4,-2.2
197104,56.6,0.1
197105,63.0,-3.4
197106,79.6,3.9
197107,76.0,-3.8
197108,76.4,-1.6
197109,73.2,3.0
197110,64.4,5.3
197111,46.7,1.5
197112,41.3,6.7
197201,30.6,0.1
