Month,Sales
Dec 2023,
Nov 2023,310959.15193
Oct 2023,293487.06424
Oct 2023,
Oct 2023,
Sep 2023,307874.44273
Aug 2023,346128.54938
Jul 2023,391900.00897
Jul 2023,
Jul 2023,
Jun 2023,386431.81346
May 2023,327871.90574
May 2023,
May 2023,
Apr 2023,297794.51952
Mar 2023,280373.11817
Mar 2023,
Mar 2023,
Feb 2023,305855.60885
Jan 2023,290581.59744
Dec 2022,322084.49331
Dec 2022,
Dec 2022,
Nov 2022,327775.78446
Oct 2022,292257.74617
Oct 2022,
Oct 2022,
Sep 2022,297195.94414
Aug 2022,340543.84071
Jul 2022,389626.2823
Jul 2022,
Jul 2022,
Jun 2022,389214.17473
May 2022,347106.33234
May 2022,
May 2022,
Apr 2022,309696.95397
Mar 2022,284932.86674
Mar 2022,
Mar 2022,
Feb 2022,304300.02693
Jan 2022,305863.07052
Dec 2021,338656.04633
Dec 2021,
Dec 2021,
Nov 2021,307387.1788
Oct 2021,287133.80021
Oct 2021,
Oct 2021,
Sep 2021,302127.47063
Aug 2021,336444.01047
Jul 2021,381039.30375
Jul 2021,
Jul 2021,
Jun 2021,373948.29907
May 2021,338415.38015
May 2021,
May 2021,
Apr 2021,290060.60198
Mar 2021,272778.6964
Mar 2021,
Mar 2021,
Feb 2021,295345.00171
Jan 2021,299698.03448
Dec 2020,321496.47552
Dec 2020,
Dec 2020,
Nov 2020,315330.30203
Oct 2020,277249.20095
Oct 2020,
Oct 2020,
Sep 2020,296876.57754
Aug 2020,322554.51332
Jul 2020,368884.50417
Jul 2020,
Jul 2020,
Jun 2020,379530.04105
May 2020,320055.72389
May 2020,
May 2020,
Apr 2020,274707.0812
Mar 2020,262400.56179
Mar 2020,
Mar 2020,
Feb 2020,289893.78032
Jan 2020,294659.40487
Dec 2019,315532.78974
Dec 2019,
Dec 2019,
Nov 2019,309822.6908
Oct 2019,285532.04149
Oct 2019,
Oct 2019,
Sep 2019,308241.20549
Aug 2019,340462.80117
Jul 2019,372574.08721
Jul 2019,
Jul 2019,
Jun 2019,376094.82072
May 2019,321461.60493
May 2019,
May 2019,
Apr 2019,296801.73615
Mar 2019,273899.83766
Mar 2019,
Mar 2019,
Feb 2019,301852.69315
Jan 2019,295797.69323
Dec 2018,328609.25104
Dec 2018,
Dec 2018,
Nov 2018,312139.71096
Oct 2018,290507.09977
Oct 2018,
Oct 2018,
Sep 2018,309113.58697
Aug 2018,337262.54868
Jul 2018,381130.62934
Jul 2018,
Jul 2018,
Jun 2018,375023.42713
May 2018,338082.98543
May 2018,
May 2018,
Apr 2018,303248.00751
Mar 2018,278467.98771
Mar 2018,
Mar 2018,
Feb 2018,296999.30431
Jan 2018,292732.28568
Dec 2017,344477.68735
Dec 2017,
Dec 2017,
Nov 2017,312215.78198
Oct 2017,283347.00055
Oct 2017,
Oct 2017,
Sep 2017,299539.47902
Aug 2017,321725.81017
Jul 2017,360262.61916
Jul 2017,
Jul 2017,
Jun 2017,367613.0216
May 2017,328582.61458
May 2017,
May 2017,
Apr 2017,291870.53765
Mar 2017,272801.15774
Mar 2017,
Mar 2017,
Feb 2017,291443.63704
Jan 2017,275777.13545
Dec 2016,318177.17905
Dec 2016,
Dec 2016,
Nov 2016,310722.22579
Oct 2016,277316.98036
Oct 2016,
Oct 2016,
Sep 2016,296680.67052
Aug 2016,336752.08609
Jul 2016,381192.32814
Jul 2016,
Jul 2016,
Jun 2016,372172.26806
May 2016,329877.90515
May 2016,
May 2016,
Apr 2016,284707.64149
Mar 2016,269531.2373
Mar 2016,
Mar 2016,
Feb 2016,285812.35897
Jan 2016,296805.76317
Dec 2015,320890.16476
Dec 2015,
Dec 2015,
Nov 2015,297343.55649
Oct 2015,275916.52883
Oct 2015,
Oct 2015,
Sep 2015,296055.34617
Aug 2015,332957.87525
Jul 2015,362031.76805
Jul 2015,
Jul 2015,
Jun 2015,362938.0669
May 2015,326396.89785
May 2015,
May 2015,
Apr 2015,288090.69944
Mar 2015,275475.12077
Mar 2015,
Mar 2015,
Feb 2015,305351.76924
Jan 2015,306768.44011
Dec 2014,329666.32027
Dec 2014,
Dec 2014,
Nov 2014,309619.69283
Oct 2014,285412.58256
Oct 2014,
Oct 2014,
Sep 2014,296679.7844
Aug 2014,326907.12123
Jul 2014,351882.99204
Jul 2014,
Jul 2014,
Jun 2014,351523.98462
May 2014,322791.97998
May 2014,
May 2014,
Apr 2014,291420.86896
Mar 2014,275893.66693
Mar 2014,
Mar 2014,
Feb 2014,302388.18814
Jan 2014,308941.13303
Dec 2013,341238.27229
Dec 2013,
Dec 2013,
Nov 2013,316474.53483
Oct 2013,281494.32405
Oct 2013,
Oct 2013,
Sep 2013,294370.25872
Aug 2013,323477.85626
Jul 2013,353579.59372
Jul 2013,
Jul 2013,
Jun 2013,358700.92813
May 2013,320200.66137
May 2013,
May 2013,
Apr 2013,289398.43306
Mar 2013,277781.90748
Mar 2013,
Mar 2013,
Feb 2013,297226.03086
Jan 2013,291480.36403
Dec 2012,320682.92852
Dec 2012,
Dec 2012,
Nov 2012,297288.12385
Oct 2012,278211.92275
Oct 2012,
Oct 2012,
Sep 2012,290735.45792
Aug 2012,318089.70771
Jul 2012,364784.71655
Jul 2012,
Jul 2012,
Jun 2012,370962.70076
May 2012,325159.86926
May 2012,
May 2012,
Apr 2012,296968.16897
Mar 2012,270759.60242
Mar 2012,
Mar 2012,
Feb 2012,283731.20675
Jan 2012,286982.92448
Dec 2011,310975.3842
Dec 2011,
Dec 2011,
Nov 2011,301844.19734
Oct 2011,275235.16385
Oct 2011,
Oct 2011,
Sep 2011,288132.88819
Aug 2011,326247.22166
Jul 2011,372719.82806
Jul 2011,
Jul 2011,
Jun 2011,370691.91322
May 2011,328707.33187
May 2011,
May 2011,
Apr 2011,287992.74781
Mar 2011,275203.87798
Mar 2011,
Mar 2011,
Feb 2011,292051.85887
Jan 2011,296903.49799
Dec 2010,334115.65319
Dec 2010,
Dec 2010,
Nov 2010,319047.69506
Oct 2010,274900.06863
Oct 2010,
Oct 2010,
Sep 2010,287839.79568
Aug 2010,327742.33635
Jul 2010,371769.31409
Jul 2010,
Jul 2010,
Jun 2010,369017.71929
May 2010,330893.20089
May 2010,
May 2010,
Apr 2010,283729.2674
Mar 2010,267052.12908
Mar 2010,
Mar 2010,
Feb 2010,292511.35075
Jan 2010,298459.72804
Dec 2009,331878.76297
Dec 2009,
Dec 2009,
Nov 2009,310291.04959
Oct 2009,268157.85379
Oct 2009,
Oct 2009,
Sep 2009,287116.30848
Aug 2009,310563.30622
Jul 2009,344845.1952
Jul 2009,
Jul 2009,
Jun 2009,337878.07154
May 2009,305520.46993
May 2009,
May 2009,
Apr 2009,275275.97676
Mar 2009,265463.64608
Mar 2009,
Mar 2009,
Feb 2009,283807.82623
Jan 2009,286251.46303
Dec 2008,321623.96705
Dec 2008,
Dec 2008,
Nov 2008,308916.12865
Oct 2008,278330.40976
Oct 2008,
Oct 2008,
Sep 2008,291762.07434
Aug 2008,321906.21066
Jul 2008,351856.42843
Jul 2008,
Jul 2008,
Jun 2008,360426.56763
May 2008,328592.49724
May 2008,
May 2008,
Apr 2008,288276.05761
Mar 2008,277963.41678
Mar 2008,
Mar 2008,
Feb 2008,294625.33802
Jan 2008,305094.91897
Dec 2007,326214.57102
Dec 2007,
Dec 2007,
Nov 2007,307704.27239
Oct 2007,286299.30566
Oct 2007,
Oct 2007,
Sep 2007,307782.64949
Aug 2007,337524.56498
Jul 2007,373364.82394
Jul 2007,
Jul 2007,
Jun 2007,352642.31557
May 2007,323006.59103
May 2007,
May 2007,
Apr 2007,292800.25887
Mar 2007,275340.50697
Mar 2007,
Mar 2007,
Feb 2007,291660.34841
Jan 2007,301331.31465
Dec 2006,315103.76002
Dec 2006,
Dec 2006,
Nov 2006,300119.15674
Oct 2006,277181.9685
Oct 2006,
Oct 2006,
Sep 2006,291186.10568
Aug 2006,317282.10014
Jul 2006,368633.76482
Jul 2006,
Jul 2006,
Jun 2006,362386.77017
May 2006,321839.88968
May 2006,
May 2006,
Apr 2006,287198.13403
Mar 2006,268208.30457
Mar 2006,
Mar 2006,
Feb 2006,289970.2595
Jan 2006,281046.41585
Dec 2005,304865.97033
Dec 2005,
Dec 2005,
Nov 2005,307342.67335
Oct 2005,274585.46698
Oct 2005,
Oct 2005,
Sep 2005,297626.30857
Aug 2005,330923.38387
Jul 2005,362543.68518
Jul 2005,
Jul 2005,
Jun 2005,355514.13892
May 2005,319380.92267
May 2005,
May 2005,
Apr 2005,273500.25066
Mar 2005,264167.93607
